date,province,total_cases,new_cases,incidence,incidence_trend
2020-03-20,Lodi,1597,69.0,30.341406785921585,28.58248465340439
2020-03-20,Monza e della Brianza,816,321.0,36.88836844240301,12.870707992364913
2020-03-21,Varese,359,21.0,2.373213874034328,3.4871714067443182
2020-03-21,Como,452,72.0,12.047346070055317,9.0594130169662
2020-03-21,Sondrio,179,16.0,8.867950672024387,14.172885449038974
2020-03-21,Milano,4672,868.0,26.582330039227312,14.76553059288877
2020-03-21,Bergamo,5869,715.0,64.52334842788636,35.25901257747636
2020-03-21,Brescia,5028,380.0,30.268344807425624,34.114472831827825
2020-03-21,Pavia,1194,89.0,16.47001347210091,16.25852052221839
2020-03-21,Cremona,2733,341.0,95.81127707160277,39.65711845276227
2020-03-21,Mantova,842,119.0,29.244149327015943,22.047209816765918
2020-03-21,Lecco,818,142.0,42.39299500538869,24.52311079285563
2020-03-21,Lodi,1693,96.0,42.21413118041264,27.765842234735693
2020-03-21,Monza e della Brianza,1084,268.0,30.7977655531589,17.697223489501756
2020-03-22,Varese,386,27.0,3.0512749809012787,3.277295349856929
2020-03-22,Como,512,60.0,10.039455058379431,10.03945505837943
2020-03-22,Sondrio,205,26.0,14.410419842039628,16.548229379045505
2020-03-22,Milano,5096,424.0,12.984916977687073,15.006154054402511
2020-03-22,Bergamo,6216,347.0,31.314128537729463,35.67154947052179
2020-03-22,Brescia,5317,289.0,23.019872761436854,32.00934358770236
2020-03-22,Pavia,1306,112.0,20.726309088486534,15.861971241188673
2020-03-22,Cremona,2895,162.0,45.51738089618665,39.69725723662134
2020-03-22,Mantova,905,63.0,15.48219670253785,23.240848564807386
2020-03-22,Lecco,872,54.0,16.121279790781614,26.01582188459467
2020-03-22,Lodi,1772,79.0,34.738712117214575,27.577386291965997
2020-03-22,Monza e della Brianza,1108,24.0,2.7580088555067666,19.470229182327536
2020-03-23,Varese,421,35.0,3.9553564567238797,3.0997079171060604
2020-03-23,Como,581,69.0,11.545373317136345,10.13506891607828
2020-03-23,Sondrio,208,3.0,1.6627407510045726,13.460282270037016
2020-03-23,Milano,5326,230.0,7.0437049643113845,15.942398068292349
2020-03-23,Bergamo,6471,255.0,23.011823565190237,36.264571254274585
2020-03-23,Brescia,5905,588.0,46.836280912542804,30.54144265531217
2020-03-23,Pavia,1444,138.0,25.537773698313764,17.818281027601945
2020-03-23,Cremona,2925,30.0,8.429144610404935,43.5104417032331
2020-03-23,Mantova,985,80.0,19.659932320682987,21.555711508748846
2020-03-23,Lecco,934,62.0,18.509617537564075,26.826150762967288
2020-03-23,Lodi,1817,45.0,19.787873990818426,27.640204939555893
2020-03-23,Monza e della Brianza,1130,22.0,2.5281747842145363,20.60298281941067
2020-03-24,Varese,450,29.0,3.277295349856929,6.021828401461254
2020-03-24,Como,635,54.0,9.035509552541487,10.421910489174836
2020-03-24,Sondrio,253,45.0,24.94111126506859,15.756448069043328
2020-03-24,Milano,5701,375.0,11.484301572246823,16.034272480870325
2020-03-24,Bergamo,6728,257.0,23.192308455897614,37.46350659968786
2020-03-24,Brescia,6298,393.0,31.303840813995446,30.234207576439807
2020-03-24,Pavia,1499,55.0,10.178098213096067,16.047027572335878
2020-03-24,Cremona,3061,136.0,38.212122233835714,44.313217380414514
2020-03-24,Mantova,1093,108.0,26.540908632922033,23.697239850823237
2020-03-24,Lecco,1015,81.0,24.18191968617242,22.77450637110418
2020-03-24,Lodi,1860,43.0,18.90841292455983,25.692826864269005
2020-03-24,Monza e della Brianza,1454,324.0,37.23311954934135,18.583726335914644
2020-03-25,Varese,468,18.0,2.0341833206008526,6.603023635918641
2020-03-25,Como,706,71.0,11.880021819082327,10.78046245554553
2020-03-25,Sondrio,284,31.0,17.18165442704725,16.548229379045505
2020-03-25,Milano,6074,373.0,11.423051963861507,13.610537977622805
2020-03-25,Bergamo,7072,344.0,31.043401201668402,31.97160921102061
2020-03-25,Brescia,6597,299.0,23.81640815110595,30.154554037472895
